movie_id,country_id
1,1
1,2
2,1
3,1
4,1
5,3
5,4
5,5
6,1
7,2
7,6
7,7
7,8
8,1
9,1
10,8
10,1
11,1
12,9
13,10
13,4
14,11
14,12
14,2
14,1
15,2
16,3
16,1
17,1
18,1
19,2
19,1
19,13
20,1
21,1
22,1
23,1
24,1
25,2
26,2
26,1
27,1
28,14
28,1
28,15
28,12
29,1
30,2
30,1
31,2
31,1
32,1
33,16
34,1
35,9
36,4
37,1
38,1
38,13
39,9
40,1
41,1
41,6
42,1
43,1
44,17
44,18
45,1
46,2
46,19
46,1
47,1
48,2
48,6
48,1
49,1
49,2
49,12
49,19
50,1
51,1
52,6
52,20
52,1
53,1
54,1
55,1
55,21
55,5
55,20
56,1
57,1
58,19
59,1
60,2
60,1
60,6
61,1
62,1
63,1
64,22
64,2
64,23
65,1
66,1
67,18
67,12
67,1
68,1
69,1
70,4
71,11
71,24
71,20
71,25
71,6
72,1
73,1
74,2
75,17
75,18
75,1
76,6
76,20
76,4
77,10
78,1
79,1
80,1
80,18
81,1
82,9
83,12
83,1
83,9
84,1
85,2
85,3
86,1
86,15
86,19
87,1
88,1
89,9
90,26
90,1
91,1
92,2
92,12
92,1
93,4
94,16
94,1
95,2
95,1
96,1
96,2
96,13
97,1
98,1
99,1
99,2
100,1
101,2
101,6
101,20
101,12
101,1
102,2
102,1
103,2
103,1
104,1
105,1
106,1
107,17
107,18
108,6
108,12
108,3
108,1
109,1
110,9
111,1
111,2
112,9
113,1
114,11
114,2
114,27
114,6
114,28
114,1
115,1
116,9
117,1
118,1
119,1
120,1
121,16
121,19
122,1
122,15
122,2
123,1
124,19
125,1
126,1
127,29
128,2
129,1
130,1
130,10
131,1
132,30
132,6
133,12
133,1
134,9
135,1
136,1
137,1
138,2
138,1
139,1
140,1
141,2
141,1
142,1
143,2
144,1
145,1
146,1
146,6
147,1
147,8
148,6
148,1
148,10
148,31
149,22
149,8
149,6
149,24
149,1
150,1
151,12
151,1
152,9
153,6
153,2
153,8
154,12
154,1
155,9
156,9
157,1
158,2
159,1
160,2
160,1
161,6
162,13
163,19
164,2
165,2
165,32
166,8
166,1
167,1
168,1
168,2
168,6
169,2
169,33
169,1
169,13
170,11
170,12
170,25
170,1
170,2
170,34
170,9
171,2
171,35
172,9
173,11
173,2
174,1
175,9
176,2
176,1
177,12
177,1
178,13
179,1
179,8
179,10
180,1
181,1
182,2
182,1
183,1
183,8
184,2
184,36
184,1
185,1
186,2
186,19
187,1
187,9
188,1
189,1
190,1
190,37
191,1
192,9
193,33
194,1
195,1
195,12
195,2
196,1
196,2
197,1
198,2
198,18
198,1
199,2
199,1
199,8
199,24
199,20
199,19
200,2
201,1
202,1
203,1
204,9
205,1
206,1
207,1
208,9
209,1
209,22
210,19
211,1
212,1
212,2
212,6
213,1
214,1
214,6
214,19
215,1
216,2
216,11
217,12
217,4
217,6
218,4
219,1
220,1
221,2
221,6
221,1
222,1
223,1
224,1
225,1
226,2
226,38
226,39
226,40
227,1
228,2
228,41
228,24
228,8
228,22
229,1
229,2
230,2
231,2
232,42
232,1
233,6
234,9
235,1
236,12
237,1
238,1
238,9
238,37
239,43
239,4
240,1
241,1
242,1
243,1
244,1
244,2
244,8
244,33
245,44
246,1
247,6
248,2
248,6
248,1
248,20
249,12
249,1
249,2
250,2
251,3
252,1
253,1
254,1
255,1
256,2
256,15
257,1
258,1
259,1
260,18
260,17
261,1
261,2
261,12
262,12
263,1
264,1
265,2
265,1
266,1
267,9
268,1
269,1
269,2
269,8
270,1
270,2
271,12
271,1
272,1
272,12
273,1
274,1
275,1
276,1
277,1
278,1
279,1
279,19
280,2
281,45
282,1
283,30
283,2
284,1
285,2
286,1
286,16
286,19
287,1
288,8
288,12
288,1
289,1
290,1
291,1
292,1
293,2
293,6
293,20
293,1
294,6
294,12
294,20
295,1
296,2
296,6
296,1
297,45
298,1
299,1
299,8
299,2
300,1
301,9
302,1
303,46
303,4
303,43
303,6
303,8
304,3
304,30
304,6
304,8
305,1
306,1
307,1
308,1
309,1
310,1
310,2
310,19
311,1
312,12
312,1
313,1
314,23
314,1
315,1
316,9
317,2
317,1
318,2
318,20
318,22
319,9
320,1
321,47
321,28
321,8
321,38
321,37
321,1
322,1
323,1
324,1
325,1
326,41
326,48
326,1
327,1
328,12
328,10
328,8
328,14
329,1
330,1
331,1
332,1
333,1
334,1
335,9
336,1
337,2
338,1
339,1
340,1
341,1
342,2
343,1
344,1
345,1
346,13
347,4
347,10
347,6
348,1
348,2
349,19
350,2
351,49
351,1
352,18
353,1
354,1
355,1
356,
357,1
358,2
358,1
359,1
360,13
361,1
362,1
363,50
364,2
364,1
365,1
366,51
366,8
367,10
368,1
369,20
369,28
370,1
371,9
372,9
372,2
372,12
372,1
373,2
373,1
374,9
375,9
376,11
377,8
377,2
378,6
378,30
378,4
378,1
378,37
379,2
379,12
380,1
381,1
382,1
383,8
383,1
384,1
384,33
385,1
386,1
387,34
388,1
389,2
389,3
389,6
389,1
390,2
391,1
392,6
393,1
394,1
394,8
395,1
395,43
396,46
396,43
396,8
396,4
397,13
398,1
399,1
400,1
401,1
402,1
403,6
404,52
404,8
404,6
405,1
406,9
407,1
408,12
409,1
410,1
411,2
411,6
412,11
412,14
413,1
413,8
413,2
413,3
414,1
414,16
415,1
416,1
417,1
418,4
418,6
418,3
418,43
418,8
419,2
420,12
420,11
420,1
421,1
422,2
422,1
423,2
423,6
423,12
423,20
423,1
424,1
425,1
426,18
426,12
426,1
427,1
428,6
428,39
429,1
429,2
430,1
430,12
431,9
432,12
432,2
432,28
433,1
434,9
435,9
436,1
437,13
437,1
438,1
439,1
440,12
441,2
441,53
441,1
442,13
443,2
443,1
444,1
445,1
446,9
447,9
448,1
449,2
449,12
449,1
450,1
451,1
452,1
453,2
453,1
454,1
455,1
456,1
457,2
457,1
458,17
458,18
459,1
460,1
461,1
462,1
463,1
464,1
465,1
466,1
467,1
468,1
469,1
470,17
470,18
471,54
471,43
471,6
471,4
471,1
472,1
472,2
473,8
473,1
473,12
474,1
475,1
476,1
476,8
477,9
478,1
479,1
480,1
480,12
481,1
482,8
482,13
483,1
484,1
485,53
486,1
486,15
487,9
488,1
489,1
490,1
491,1
491,13
492,2
492,45
492,8
493,4
494,8
494,1
495,1
496,1
497,9
498,19
499,1
500,1
501,2
502,1
503,1
504,1
505,11
505,1
506,9
507,8
507,1
508,1
509,6
510,13
511,1
511,18
511,2
512,1
512,2
513,1
514,9
515,6
515,20
515,25
515,44
515,12
515,1
516,1
517,1
517,51
517,2
517,12
518,1
519,
520,18
521,12
522,1
523,1
523,22
524,1
525,1
525,2
526,55
526,41
526,1
527,1
528,9
529,1
530,1
531,1
532,1
533,2
533,1
534,4
534,6
535,1
536,1
537,9
538,9
539,2
540,
541,1
542,1
543,1
544,1
545,1
546,1
547,1
548,9
549,1
550,1
551,12
552,1
553,8
553,6
553,25
553,2
554,2
555,1
556,1
557,1
558,1
559,1
560,1
561,12
562,1
563,6
563,13
563,8
563,2
563,1
563,10
563,12
564,1
565,9
566,1
567,1
567,24
568,8
568,6
568,2
568,12
568,1
569,4
570,1
571,1
572,1
573,1
574,19
575,22
575,1
576,1
577,51
577,1
578,1
579,43
579,4
580,1
581,1
582,1
583,19
584,1
585,1
586,13
587,12
587,1
588,18
588,31
588,17
589,1
590,1
591,1
592,3
592,1
593,1
594,1
595,43
596,1
597,1
598,1
599,28
599,20
599,8
599,38
600,13
601,1
602,1
603,9
604,24
605,2
606,9
607,1
608,1
609,9
610,2
611,1
612,34
613,1
614,2
614,6
615,13
615,2
615,12
616,8
616,1
617,3
618,1
619,9
620,13
620,1
621,9
622,6
622,40
622,1
623,19
624,1
625,1
626,9
627,9
628,1
629,1
630,1
631,1
632,18
632,19
633,1
634,1
634,8
635,1
636,2
636,6
636,8
636,1
637,19
638,1
639,1
640,1
641,1
642,9
643,1
644,1
645,1
646,1
647,1
648,1
649,1
650,1
651,56
651,57
651,58
651,1
652,1
653,1
654,9
655,12
656,59
657,6
657,20
658,1
659,2
659,18
659,1
660,9
661,1
662,24
663,9
664,9
665,1
666,1
666,49
667,12
668,9
669,1
670,39
670,6
670,60
670,12
670,1
671,1
672,12
673,1
674,1
675,12
676,1
677,1
678,2
679,51
679,8
679,6
680,6
681,9
682,1
683,1
684,1
684,37
685,1
686,1
687,13
688,1
689,12
690,1
691,61
691,1
692,1
693,1
694,1
695,1
696,1
697,12
698,1
699,1
700,1
701,1
701,12
702,1
702,12
703,9
704,9
705,1
706,1
707,1
708,19
709,1
709,18
709,17
710,1
711,2
712,1
712,12
712,6
713,1
714,2
715,2
715,1
716,1
716,12
717,1
718,1
719,1
720,1
721,
722,1
723,4
724,1
725,1
726,1
727,1
728,1
729,1
730,1
731,1
732,16
732,18
732,1
733,1
734,1
735,1
736,10
737,2
737,6
737,1
738,9
739,9
740,15
740,2
741,8
741,1
742,1
743,9
744,12
745,1
745,12
745,6
746,1
747,37
747,1
748,1
749,1
750,1
751,1
752,1
753,1
754,1
755,12
755,1
756,1
757,4
757,6
758,1
759,18
759,17
760,2
760,1
761,9
762,47
763,1
763,13
764,1
765,11
766,9
767,1
768,1
769,1
770,1
771,42
772,16
772,1
773,53
773,7
773,62
774,1
774,13
775,4
776,29
777,1
778,1
779,1
780,1
781,1
782,63
782,1
783,4
784,1
784,10
785,1
786,6
787,3
788,15
789,1
790,1
791,1
792,1
793,1
794,1
795,8
795,6
795,1
795,12
795,2
795,18
796,11
797,9
798,1
798,45
799,1
800,9
801,1
802,1
803,8
804,9
805,2
805,24
805,12
805,64
806,1
807,1
807,37
808,8
809,1
810,9
811,16
812,12
813,12
813,8
813,6
813,1
814,1
815,8
815,1
816,1
817,1
818,13
819,1
820,1
821,1
822,1
822,2
822,6
822,8
822,19
823,19
824,43
825,1
825,6
825,3
825,2
826,1
827,1
828,1
829,1
830,8
831,17
832,1
832,2
833,1
834,1
834,37
835,9
836,1
837,1
838,9
839,1
840,1
841,19
842,4
843,2
843,8
844,1
845,1
846,9
847,12
848,1
849,59
850,59
851,
852,2
852,12
852,1
853,1
854,2
854,6
854,8
855,9
856,1
857,1
858,2
858,6
858,1
859,1
860,1
861,1
862,1
863,1
864,1
865,9
866,1
867,12
868,1
869,2
869,65
869,14
869,66
869,1
870,1
871,9
872,30
872,67
872,3
872,8
872,6
873,1
874,13
875,19
876,55
877,17
877,18
877,68
878,4
879,29
879,18
879,1
880,1
881,1
882,9
883,1
883,2
883,6
884,
885,1
886,2
886,12
886,19
887,9
888,9
889,1
890,6
891,6
891,2
892,2
892,18
892,12
892,42
892,68
892,1
893,8
893,1
894,1
895,1
896,1
897,2
897,13
897,1
898,2
898,13
898,1
899,9
900,19
901,1
901,8
901,12
901,2
901,3
901,6
902,9
903,1
903,2
904,2
905,1
906,1
907,1
908,9
909,13
910,1
911,1
911,2
911,4
911,16
912,12
913,10
914,9
915,2
915,1
916,
917,16
918,4
918,69
919,2
920,1
920,13
920,10
921,9
922,1
923,1
924,2
925,10
925,4
926,24
926,1
927,1
928,8
928,1
928,12
929,1
929,12
929,11
930,9
931,1
931,18
932,1
932,12
933,1
934,1
935,51
936,2
936,1
937,43
938,6
938,70
938,20
939,1
940,1
940,2
941,1
942,1
943,9
944,19
945,1
946,9
947,1
948,9
949,2
949,1
950,1
951,1
952,1
953,1
954,1
955,1
956,1
957,1
958,9
959,28
959,1
960,1
961,1
962,18
962,17
963,
964,1
965,3
966,1
967,1
968,9
969,1
970,10
970,1
971,2
971,14
971,37
972,1
973,1
974,1
975,2
976,9
977,1
978,1
978,42
979,13
980,9
981,13
981,1
982,3
983,1
984,9
985,9
986,1
987,1
988,9
989,1
990,1
991,1
991,2
992,69
992,1
993,1
994,1
995,34
996,12
996,1
997,1
998,1
999,2
1000,1
1001,6
1001,8
1001,3
1002,12
1003,1
1004,51
1004,1
1005,1
1005,19
1006,1
1007,1
1008,1
1009,1
1010,4
1011,1
1012,59
1013,1
1014,4
1015,1
1016,1
1017,19
1018,1
1019,1
1020,1
1021,12
1021,1
1022,59
1023,1
1024,1
1025,4
1025,71
1026,1
1027,1
1028,1
1029,19
1030,18
1030,17
1031,1
1032,1
1033,12
1033,41
1034,1
1035,1
1036,12
1037,1
1038,1
1039,1
1040,1
1041,19
1041,1
1042,1
1043,1
1044,1
1045,1
1045,4
1045,3
1046,1
1047,1
1048,1
1049,1
1050,17
1051,9
1052,14
1052,18
1052,1
1053,8
1054,12
1054,1
1055,1
1056,2
1056,8
1056,12
1057,1
1057,12
1058,1
1059,1
1060,12
1060,1
1061,9
1062,1
1063,34
1064,1
1065,7
1065,1
1066,1
1067,9
1068,2
1068,1
1069,9
1070,17
1070,50
1071,1
1072,2
1073,1
1074,1
1075,9
1076,1
1077,1
1078,12
1078,1
1078,2
1079,1
1080,1
1081,19
1082,19
1083,34
1084,19
1085,1
1086,8
1087,55
1088,59
1089,9
1090,2
1090,8
1091,1
1092,1
1093,59
1094,10
1095,9
1096,9
1097,12
