id,genre
1,Action
2,Adventure
3,Sci-Fi
4,Thriller
5,Comedy
6,Western
7,Animation
8,Family
9,Biography
10,Drama
11,Music
12,War
13,Crime
14,Fantasy
15,Romance
16,History
17,Mystery
18,Horror
19,Sport
20,Documentary
21,Musical
22,News
23,Short
24,Reality-TV
25,Talk-Show
26,Game-Show
27,Film-Noir
